,includes unemployment,includes unemployment post,includes term,includes term post,VAR model
0,10,9,11.0,12.0,10.0
1,14,13,15.0,14.0,13.0
2,14,16,12.0,13.0,12.0
3,4,32,0.0,14.0,12.0
4,0,2,,,
5,3,2,,,
6,4,3,,,
7,4,4,,,
8,1,0,,,
