iter	Passed	Remaining
402	13294	19694
403	13329	19664
404	13361	19630
405	13399	19603
406	13439	19580
407	13480	19560
408	13510	19522
409	13554	19505
410	13580	19461
411	13604	19416
412	13629	19371
413	13658	19332
414	13687	19295
415	13718	19259
416	13756	19233
417	13798	19212
418	13834	19183
419	13870	19154
420	13923	19149
421	13957	19116
422	13992	19086
423	14025	19053
424	14095	19070
425	14125	19032
426	14171	19017
427	14201	18980
428	14236	18949
429	14269	18914
430	14295	18872
431	14329	18840
432	14376	18825
433	14424	18811
434	14459	18780
435	14498	18755
436	14537	18729
437	14579	18707
438	14605	18664
439	14653	18649
440	14687	18617
441	14716	18578
442	14739	18532
443	14777	18505
444	14815	18477
445	14848	18444
446	14877	18405
447	14909	18370
448	14945	18340
449	14982	18312
450	15016	18279
451	15057	18255
452	15086	18216
453	15112	18174
454	15141	18136
455	15170	18097
456	15200	18060
457	15233	18027
458	15264	17991
459	15295	17955
460	15328	17921
461	15356	17883
462	15391	17850
463	15421	17814
464	15450	17776
465	15481	17740
466	15512	17705
467	15541	17666
468	15573	17631
469	15597	17589
470	15628	17553
471	15656	17513
472	15688	17479
473	15717	17441
474	15750	17407
475	15783	17375
476	15807	17331
477	15843	17301
478	15880	17273
479	15911	17237
480	15937	17196
481	15973	17166
482	16000	17127
483	16035	17095
484	16065	17059
485	16101	17029
486	16133	16994
487	16164	16959
488	16191	16919
489	16215	16877
490	16245	16840
491	16280	16809
492	16312	16776
493	16344	16741
494	16374	16704
495	16399	16663
496	16425	16623
497	16456	16588
498	16493	16559
499	16525	16525
500	16558	16492
501	16592	16460
502	16621	16423
503	16660	16395
504	16685	16355
505	16713	16317
506	16746	16284
507	16774	16246
508	16798	16204
509	16829	16169
510	16862	16136
511	16892	16100
512	16929	16071
513	16950	16027
514	16983	15993
515	17016	15961
516	17047	15926
517	17078	15891
518	17110	15857
519	17136	15818
520	17161	15778
521	17192	15743
522	17225	15710
523	17256	15675
524	17283	15637
525	17316	15604
526	17343	15565
527	17370	15528
528	17403	15495
529	17431	15458
530	17466	15427
531	17497	15392
532	17529	15358
533	17551	15316
534	17581	15280
535	17611	15245
536	17639	15208
537	17671	15174
538	17690	15130
539	17714	15090
540	17741	15052
541	17769	15015
542	17796	14977
543	17831	14947
544	17869	14918
545	17895	14880
546	17917	14838
547	17954	14809
548	17986	14776
549	18036	14757
550	18077	14731
551	18117	14704
552	18144	14666
553	18169	14627
554	18201	14594
555	18236	14563
556	18268	14529
557	18290	14488
558	18321	14453
559	18351	14418
560	18380	14383
561	18414	14351
562	18445	14317
563	18480	14286
564	18508	14249
565	18535	14212
566	18571	14182
567	18601	14147
568	18634	14115
569	18661	14078
570	18696	14046
571	18722	14009
572	18757	13977
573	18783	13940
574	18815	13907
575	18849	13875
576	18880	13841
577	18903	13801
578	18934	13767
579	18965	13733
580	19001	13703
581	19034	13670
582	19065	13636
583	19104	13608
584	19129	13570
585	19161	13537
586	19189	13501
587	19222	13468
588	19255	13436
589	19283	13400
590	19319	13370
591	19346	13333
592	19367	13292
593	19412	13268
594	19453	13241
595	19485	13208
596	19515	13173
597	19552	13144
598	19586	13112
599	19618	13078
600	19652	13047
601	19682	13012
602	19712	12978
603	19742	12943
604	19780	12914
605	19810	12880
606	19841	12846
607	19864	12807
608	19897	12774
609	19924	12738
610	19958	12706
611	19996	12677
612	20029	12645
613	20054	12607
614	20086	12574
615	20118	12541
616	20152	12509
617	20196	12483
618	20224	12448
619	20255	12414
620	20280	12377
621	20314	12345
622	20347	12312
623	20383	12282
624	20415	12249
625	20442	12213
626	20471	12178
627	20499	12143
628	20526	12107
629	20560	12075
630	20595	12043
631	20622	12007
632	20651	11973
633	20689	11943
634	20725	11912
635	20762	11882
636	20795	11850
637	20824	11815
638	20849	11778
639	20882	11746
640	20917	11714
641	20945	11679
642	20975	11645
643	21008	11613
644	21033	11576
645	21073	11548
646	21103	11514
647	21130	11478
648	21163	11446
649	21191	11410
650	21220	11376
651	21250	11342
652	21283	11310
653	21317	11278
654	21351	11246
655	21388	11215
656	21417	11181
657	21445	11146
658	21482	11116
659	21515	11083
660	21546	11050
661	21580	11018
662	21611	10984
663	21641	10950
664	21671	10917
665	21696	10880
666	21731	10849
667	21775	10822
668	21802	10787
669	21829	10751
670	21861	10718
671	21893	10686
672	21931	10656
673	21968	10625
674	21990	10588
675	22023	10555
676	22050	10520
677	22083	10487
678	22113	10454
679	22136	10417
680	22159	10380
681	22190	10346
682	22224	10314
683	22261	10284
684	22290	10250
685	22314	10213
686	22349	10182
687	22382	10150
688	22409	10115
689	22436	10080
690	22470	10048
691	22500	10014
692	22534	9982
693	22565	9949
694	22598	9917
695	22627	9883
696	22656	9849
697	22682	9814
698	22712	9780
699	22745	9747
700	22768	9711
701	22798	9677
702	22833	9646
703	22872	9616
704	22902	9583
705	22936	9551
706	22970	9519
707	23006	9488
708	23038	9455
709	23067	9421
710	23099	9389
711	23136	9358
712	23159	9322
713	23190	9289
714	23226	9258
715	23259	9225
716	23280	9188
717	23312	9155
718	23347	9124
719	23380	9092
720	23426	9065
721	23452	9030
722	23484	8997
723	23513	8963
724	23541	8929
725	23574	8897
726	23609	8865
727	23633	8830
728	23663	8796
729	23704	8767
730	23735	8734
731	23761	8699
732	23796	8667
733	23830	8636
734	23863	8603
735	23891	8569
736	23929	8539
737	23960	8506
738	23993	8474
739	24026	8441
740	24056	8408
741	24094	8377
742	24127	8345
743	24164	8314
744	24200	8283
745	24230	8249
746	24253	8214
747	24285	8181
748	24314	8148
749	24348	8116
750	24376	8082
751	24409	8049
752	24437	8016
753	24467	7982
754	24496	7949
755	24531	7917
756	24563	7885
757	24591	7851
758	24630	7820
759	24659	7787
760	24697	7756
761	24728	7723
762	24764	7692
763	24796	7659
764	24825	7626
765	24852	7591
766	24890	7561
767	24931	7531
768	24966	7499
769	24994	7466
770	25021	7431
771	25050	7398
772	25080	7365
773	25111	7332
774	25147	7300
775	25170	7265
776	25197	7231
777	25223	7197
778	25260	7166
779	25295	7134
780	25326	7101
781	25355	7068
782	25379	7033
783	25401	6998
784	25437	6967
785	25481	6937
786	25509	6904
787	25540	6871
788	25588	6843
789	25621	6810
790	25656	6778
791	25684	6745
792	25710	6711
793	25740	6678
794	25769	6645
795	25797	6611
796	25828	6578
797	25862	6546
798	25890	6513
799	25930	6482
800	25953	6447
801	25980	6414
802	26015	6382
803	26048	6350
804	26074	6316
805	26110	6284
806	26134	6250
807	26163	6217
808	26187	6182
809	26214	6149
810	26248	6117
811	26280	6084
812	26319	6053
813	26354	6022
814	26393	5991
815	26434	5960
816	26475	5930
817	26507	5897
818	26534	5864
819	26584	5835
820	26621	5804
821	26650	5771
822	26674	5736
823	26702	5703
824	26736	5671
825	26769	5639
826	26797	5605
827	26830	5573
828	26858	5540
829	26891	5507
830	26912	5473
831	26935	5438
832	26960	5405
833	26984	5371
834	27023	5340
835	27050	5306
836	27087	5275
837	27113	5241
838	27145	5209
839	27176	5176
840	27213	5144
841	27249	5113
842	27281	5080
843	27318	5049
844	27349	5016
845	27381	4984
846	27413	4951
847	27448	4919
848	27482	4887
849	27510	4854
850	27534	4820
851	27564	4788
852	27594	4755
853	27630	4723
854	27656	4690
855	27694	4658
856	27716	4624
857	27743	4591
858	27776	4559
859	27807	4526
860	27835	4493
861	27873	4462
862	27902	4429
863	27930	4396
864	27968	4365
865	28002	4332
866	28028	4299
867	28065	4268
868	28093	4234
869	28124	4202
870	28156	4170
871	28198	4139
872	28233	4107
873	28265	4074
874	28300	4042
875	28330	4010
876	28358	3977
877	28385	3944
878	28418	3912
879	28447	3879
880	28471	3845
881	28495	3812
882	28525	3779
883	28556	3747
884	28585	3714
885	28614	3681
886	28651	3650
887	28680	3617
888	28712	3585
889	28735	3551
890	28771	3519
891	28801	3487
892	28828	3454
893	28863	3422
894	28893	3389
895	28927	3357
896	28960	3325
897	28984	3292
898	29017	3260
899	29048	3227
900	29077	3194
901	29109	3162
902	29134	3129
903	29173	3098
904	29206	3065
905	29235	3033
906	29265	3000
907	29296	2968
908	29328	2936
909	29361	2903
910	29387	2871
911	29413	2838
912	29440	2805
913	29474	2773
914	29505	2740
915	29540	2708
916	29577	2677
917	29611	2645
918	29640	2612
919	29677	2580
920	29707	2548
921	29743	2516
922	29775	2483
923	29817	2452
924	29844	2419
925	29875	2387
926	29908	2355
927	29942	2323
928	29983	2291
929	30008	2258
930	30046	2226
931	30104	2196
932	30133	2163
933	30168	2131
934	30195	2099
935	30220	2066
936	30252	2034
937	30289	2002
938	30322	1969
939	30350	1937
940	30383	1905
941	30405	1872
942	30439	1839
943	30466	1807
944	30491	1774
945	30528	1742
946	30562	1710
947	30587	1677
948	30610	1645
949	30640	1612
950	30673	1580
951	30703	1548
952	30736	1515
953	30770	1483
954	30793	1450
955	30828	1418
956	30855	1386
957	30890	1354
958	30924	1322
959	30953	1289
960	30979	1257
961	31009	1224
962	31047	1192
963	31078	1160
964	31106	1128
965	31141	1096
966	31175	1063
967	31203	1031
968	31235	999
969	31267	967
970	31298	934
971	31327	902
972	31354	870
973	31394	838
974	31426	805
975	31451	773
976	31485	741
977	31525	709
978	31547	676
979	31573	644
980	31605	612
981	31640	579
982	31673	547
983	31705	515
984	31742	483
985	31782	451
986	31812	419
987	31843	386
988	31877	354
989	31916	322
990	31939	290
991	31970	257
992	32008	225
993	32036	193
994	32059	161
995	32095	128
996	32122	96
997	32146	64
998	32174	32
999	32205	0
